Symptom,weight
itching,1
skin_rash,3
nodal_skin_eruptions,4
continuous_sneezing,4
shivering,5
chills,3
joint_pain,3
stomach_pain,5
acidity,3
ulcers_on_tongue,4
muscle_wasting,3
vomiting,5
burning_micturition,6
spotting_urination,6
fatigue,4
weight_gain,3
anxiety,4
cold_hands_and_feets,5
mood_swings,3
weight_loss,3
restlessness,5
lethargy,2
patches_in_throat,6
irregular_sugar_level,5
cough,4
high_fever,7
sunken_eyes,3
breathlessness,4
sweating,3
dehydration,4
indigestion,5
headache,3
yellowish_skin,3
dark_urine,4
nausea,5
loss_of_appetite,4
pain_behind_the_eyes,4
back_pain,3
constipation,4
abdominal_pain,4
diarrhoea,6
mild_fever,5
yellow_urine,4
yellowing_of_eyes,4
acute_liver_failure,6
fluid_overload,6
swelling_of_stomach,7
swelled_lymph_nodes,6
malaise,6
blurred_and_distorted_vision,5
phlegm,5
throat_irritation,4
redness_of_eyes,5
sinus_pressure,4
runny_nose,5
congestion,5
chest_pain,7
weakness_in_limbs,7
fast_heart_rate,5
pain_during_bowel_movements,5
pain_in_anal_region,6
bloody_stool,5
irritation_in_anus,6
neck_pain,5
dizziness,4
cramps,4
bruising,4
obesity,4
swollen_legs,5
swollen_blood_vessels,5
puffy_face_and_eyes,5
enlarged_thyroid,6
brittle_nails,5
swollen_extremeties,5
excessive_hunger,4
extra_marital_contacts,5
drying_and_tingling_lips,4
slurred_speech,4
knee_pain,3
hip_joint_pain,2
muscle_weakness,2
stiff_neck,4
swelling_joints,5
movement_stiffness,5
spinning_movements,6
loss_of_balance,4
unsteadiness,4
weakness_of_one_body_side,4
loss_of_smell,3
bladder_discomfort,4
foul_smell_ofurine,5
continuous_feel_of_urine,6
passage_of_gases,5
internal_itching,4
toxic_look_(typhos),5
depression,3
irritability,2
muscle_pain,2
altered_sensorium,2
red_spots_over_body,3
belly_pain,4
abnormal_menstruation,6
dischromic_patches,6
watering_from_eyes,4
increased_appetite,5
polyuria,4
family_history,5
mucoid_sputum,4
rusty_sputum,4
lack_of_concentration,3
visual_disturbances,3
receiving_blood_transfusion,5
receiving_unsterile_injections,2
coma,7
stomach_bleeding,6
distention_of_abdomen,4
history_of_alcohol_consumption,5
fluid_overload,4
blood_in_sputum,5
prominent_veins_on_calf,6
palpitations,4
painful_walking,2
pus_filled_pimples,2
blackheads,2
scurring,2
skin_peeling,3
silver_like_dusting,2
small_dents_in_nails,2
inflammatory_nails,2
blister,4
red_sore_around_nose,2
yellow_crust_ooze,3
prognosis,5
fever_with_chills,6
chest_discomfort,6
difficulty_breathing,6
shortness_of_breath,6
drowsiness,3
sore_throat,3
loss_of_taste,5
ear_pain,3
hearing_loss,4
ringing_in_ears,3
visual_hallucinations,7
abdominal_cramps,5
pain_in_lower_back,4
pain_in_upper_abdomen,6
fluid_retention,5
swollen_glands,5
hot_flashes,3
cold_extremities,4
night_sweats,4
hair_loss,3
flaky_skin,3
eczema,3
dry_eyes,3
watery_eyes,2
bleeding_gums,4
throat_swelling,5
hoarseness,4
frequent_urination,4
joint_stiffness,5
burning_sensation,4
difficulty_swallowing,6
heartburn,4
bluish_lips,7
purple_spots_on_skin,6
easy_bruising,4
tingling_in_hands,3
tingling_in_feet,3
itchy_eyes,2
numbness_in_fingers,3
numbness_in_toes,3
loss_of_coordination,6
pain_while_chewing,4
fluid_drainage_from_ear,4
hiccups,1
hiccups_with_blood,6
difficulty_standing,5
voice_loss,3
increased_thirst,4
choking,6
grinding_teeth,2
loss_of_vision,7
sharp_pain_in_eye,6
eye_discharges,4
abnormal_body_odor,3
abnormal_breathing_sounds,5
vomiting_blood,7
low_energy,4
lightheadedness,5
frequent_nosebleeds,4
crawling_sensation_on_skin,3
uncontrollable_shaking,6
severe_anxiety,6
constant_yawning,2
wheezing,5
mucus_production,4
lump_in_throat,4
rash_on_chest,3
skin_discoloration,3
dark_circles_under_eyes,3
persistent_cough,5
increased_skin_sensitivity,3
sharp_stomach_pain,6
loss_of_muscle_control,7
weight_gain_with_appetite_loss,5
clay-colored_stool,6
cloudy_urine,4
frequent_belching,2
dry_mouth,2
excessive_salivation,3
chapped_lips,2
white_patches_in_mouth,3
sneezing,2
nose_blockage,3
red_patches_in_mouth,3
broken_teeth,2
toothache,4
metallic_taste_in_mouth,3
gasping_for_air,7
uneven_heartbeat,6
black_stools,7
delayed_healing_of_wounds,4
paleness,3
change_in_hair_texture,2
bruises_on_nail_beds,3
pain_around_eye_socket,4
difficulty_sleeping,4
bad_breath,3
weak_grip,3
tremor,4
jaw_pain,4
intolerance_to_hot_weather,3
intolerance_to_cold_weather,3
trouble_urinating,5
excessive_drowsiness,4
feeling_of_impending_doom,6
lack_of_emotion,4
red_bumps_on_skin,3
black_spots_on_tongue,4
muscle_twitching,3
fainting,6
chronic_pain,5
slow_healing,4
spitting_up_blood,6
pounding_heartbeat,5
bone_pain,5
sunburn,3
mouth_sores,3
white_spots_on_tonsils,4
problems_with_balance,6
increased_body_hair,3
lack_of_eye_contact,3
change_in_voice_pitch,3
disorientation,5
change_in_bowel_color,5
