Disease,Description
Fungal infection,Fungal infection is a common skin condition caused by fungi.
Allergy,Allergy is an immune system reaction to a substance in the environment.
GERD,GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.
Chronic cholestasis,Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.
Drug Reaction,Drug Reaction occurs when the body reacts adversely to a medication.
Peptic ulcer disease,Peptic ulcer disease involves sores that develop on the inner lining of the stomach and small intestine.
AIDS,AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.
Diabetes,Diabetes is a chronic condition that affects how the body processes blood sugar.
Gastroenteritis,"Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria."
Bronchial Asthma,Bronchial Asthma is a respiratory condition characterized by inflammation of the airways.
Hypertension,"Hypertension, or high blood pressure, is a common cardiovascular condition."
Migraine,Migraine is a type of headache that often involves severe pain and sensitivity to light and sound.
Cervical spondylosis,Cervical spondylosis is a degenerative condition of the cervical spine.
Paralysis (brain hemorrhage),Paralysis (brain hemorrhage) refers to the loss of muscle function due to bleeding in the brain.
Jaundice,"Jaundice is a yellow discoloration of the skin and eyes, often indicating liver problems."
Malaria,Malaria is a mosquito-borne infectious disease affecting humans and other animals.
Chicken pox,Chicken pox is a highly contagious viral infection causing an itchy rash.
Dengue,Dengue is a mosquito-borne viral infection causing flu-like symptoms.
Typhoid,Typhoid is a bacterial infection that can lead to a high fever and gastrointestinal symptoms.
hepatitis A,hepatitis A is a viral liver disease.
Hepatitis B,Hepatitis B is a viral infection that attacks the liver.
Hepatitis C,Hepatitis C is a viral infection that causes liver inflammation.
Hepatitis D,Hepatitis D is a serious liver disease caused by the hepatitis D virus.
Hepatitis E,Hepatitis E is a viral infection that causes liver inflammation.
Alcoholic hepatitis,Alcoholic hepatitis is inflammation of the liver due to alcohol consumption.
Tuberculosis,Tuberculosis is a bacterial infection that primarily affects the lungs.
Common Cold,Common Cold is a viral infection of the upper respiratory tract.
Pneumonia,Pneumonia is an inflammatory condition affecting the air sacs in the lungs.
Dimorphic hemmorhoids(piles),Dimorphic hemmorhoids(piles) is a condition characterized by swollen blood vessels in the rectum.
Heart attack,Heart attack is a sudden and severe reduction in blood flow to the heart muscle.
Varicose veins,"Varicose veins are enlarged, twisted veins that usually appear on the legs."
Hypothyroidism,Hypothyroidism is a condition where the thyroid gland doesn't produce enough thyroid hormone.
Hyperthyroidism,Hyperthyroidism is a condition where the thyroid gland produces too much thyroid hormone.
Hypoglycemia,Hypoglycemia is a condition characterized by abnormally low blood sugar levels.
Osteoarthristis,Osteoarthristis is a degenerative joint disease that affects the cartilage in joints.
Arthritis,"Arthritis is inflammation of one or more joints, causing pain and stiffness."
(vertigo) Paroymsal Positional Vertigo,(Vertigo) Paroxysmal Positional Vertigo is a type of dizziness caused by specific head movements.
Acne,Acne is a skin condition that occurs when hair follicles become clogged with oil and dead skin cells.
Urinary tract infection,Urinary tract infection is an infection in any part of the urinary system.
Psoriasis,"Psoriasis is a chronic skin condition characterized by red, itchy, and scaly patches."
Impetigo,Impetigo is a highly contagious skin infection causing red sores that can break open.
Sinusitis,Sinusitis is an inflammation of the sinuses often caused by a viral or bacterial infection.
Bronchitis,Bronchitis is an inflammation of the bronchial tubes leading to coughing and mucus production.
Gastroenteritis,Gastroenteritis is an inflammation of the stomach and intestines usually due to infection.
Hypertension,Hypertension or high blood pressure is a condition where the force of the blood against the artery walls is too high.
Asthma,Asthma is a chronic respiratory condition where the airways become inflamed and narrow causing breathing difficulties.
Anemia,Anemia is a condition characterized by a deficiency of red blood cells or hemoglobin leading to fatigue and weakness.
Otitis Media,Otitis Media is an infection or inflammation of the middle ear.
Tonsillitis,Tonsillitis is an inflammation of the tonsils usually due to a viral or bacterial infection.
Conjunctivitis,Conjunctivitis also known as pink eye is an inflammation of the outer membrane of the eye.
Cholecystitis,Cholecystitis is inflammation of the gallbladder often caused by gallstones blocking the bile duct.
Pneumonia,Pneumonia is a lung infection that inflames the air sacs which may fill with fluid.
Hyperthyroidism,Hyperthyroidism is a condition in which the thyroid gland overproduces hormones leading to accelerated metabolism.
Hypothyroidism,Hypothyroidism is a condition where the thyroid gland does not produce enough hormones.
Gout,Gout is a type of arthritis characterized by sudden severe attacks of pain swelling and redness in the joints.
Lupus,Lupus is a chronic autoimmune disease that can cause inflammation and pain in any part of the body.
Eczema,Eczema is a skin condition that causes red itchy and inflamed patches of skin.
Migraine,Migraine is a neurological condition that causes intense headaches often accompanied by nausea and sensitivity to light.
Chicken Pox,Chicken Pox is a highly contagious viral infection that causes a blister-like rash itching tiredness and fever.
Dengue Fever,Dengue Fever is a mosquito-borne viral infection causing severe flu-like symptoms.
Hepatitis,Hepatitis is inflammation of the liver often caused by viral infections or alcohol consumption.
Chronic Fatigue Syndrome,Chronic Fatigue Syndrome is a condition characterized by extreme tiredness that doesn't improve with rest.
Chronic Obstructive Pulmonary Disease (COPD),COPD is a chronic inflammatory lung disease that causes obstructed airflow from the lungs.
Tuberculosis,Tuberculosis is a serious bacterial infection that mainly affects the lungs.
Appendicitis,Appendicitis is an inflammation of the appendix often leading to abdominal pain.
Diverticulitis,Diverticulitis is the inflammation or infection of small pouches that develop along the walls of the intestines.
Acute Pancreatitis,Acute Pancreatitis is a sudden inflammation of the pancreas.
Chronic Kidney Disease,Chronic Kidney Disease is a long-term condition where the kidneys do not function properly.
Celiac Disease,Celiac Disease is an autoimmune disorder where ingestion of gluten leads to damage in the small intestine.
Irritable Bowel Syndrome,Irritable Bowel Syndrome is a gastrointestinal disorder characterized by abdominal pain and altered bowel habits.
Lyme Disease,Lyme Disease is an infectious disease caused by bacteria transmitted through tick bites.
Parkinson's Disease,Parkinson's Disease is a progressive nervous system disorder that affects movement.
Bipolar Disorder,Bipolar Disorder is a mental condition characterized by alternating periods of depression and mania.
Epilepsy,Epilepsy is a central nervous system disorder in which brain activity becomes abnormal causing seizures.
Multiple Sclerosis,Multiple Sclerosis is a disease in which the immune system eats away at the protective covering of nerves.
Alzheimer's Disease,Alzheimer's Disease is a progressive neurodegenerative disorder that affects memory and cognitive function.
Cataract,Cataract is a clouding of the normally clear lens of the eye.
Glaucoma,Glaucoma is a group of eye conditions that damage the optic nerve often caused by high pressure in the eye.
Psoriatic Arthritis,Psoriatic Arthritis is a form of arthritis affecting some people with psoriasis.
Rheumatoid Arthritis,Rheumatoid Arthritis is an autoimmune disorder that primarily affects joints.
Herpes Simplex,Herpes Simplex is a viral infection causing sores on the mouth or genitals.
Mumps,Mumps is a viral infection that affects the salivary glands.
Scarlet Fever,Scarlet Fever is a bacterial illness that develops in some people who have strep throat.
Leukemia,Leukemia is a cancer of blood-forming tissues including bone marrow and the lymphatic system.
Melanoma,Melanoma is the most serious type of skin cancer developing in cells that produce melanin.
Acromegaly,Acromegaly is a hormonal disorder that results from an excess of growth hormone.
Addison's Disease,Addison's Disease is a disorder that occurs when the adrenal glands do not produce enough hormones.
Allergic Rhinitis,Allergic Rhinitis is an allergic reaction that causes sneezing congestion and runny nose.
Cluster Headache,Cluster Headache is a type of headache that occurs in cyclical patterns or clusters.
Dystonia,Dystonia is a movement disorder in which muscles contract involuntarily.
Emphysema,Emphysema is a lung condition that causes shortness of breath due to damaged air sacs.
Gallstones,Gallstones are hard deposits in the gallbladder that can block the bile ducts.
Guillain-Barre Syndrome,Guillain-Barre Syndrome is a rare disorder in which the body's immune system attacks the nerves.
Hodgkin's Lymphoma,Hodgkin's Lymphoma is a type of lymphoma which is a cancer of the lymphatic system.
Pancreatic Cancer,Pancreatic Cancer is an aggressive cancer that forms in the tissues of the pancreas.
Polycystic Ovary Syndrome (PCOS),PCOS is a hormonal disorder common among women of reproductive age.
Sciatica,Sciatica refers to pain that radiates along the path of the sciatic nerve.
Raynaud's Disease,Raynaud's Disease is a condition that causes some areas of your body to feel numb and cold.
Cushing's Syndrome,Cushing's Syndrome occurs when your body is exposed to high levels of the hormone cortisol.
Fibromyalgia,Fibromyalgia is a condition characterized by widespread musculoskeletal pain.
Sleep Apnea,Sleep Apnea is a potentially serious sleep disorder in which breathing repeatedly stops and starts.
Hyperparathyroidism,Hyperparathyroidism is an excess of parathyroid hormone in the bloodstream.
Thalassemia,Thalassemia is a blood disorder involving lower-than-normal amounts of hemoglobin.
Chronic Sinusitis,Chronic Sinusitis is a condition in which the cavities around nasal passages become inflamed.
Nephrotic Syndrome,Nephrotic Syndrome is a kidney disorder causing the body to excrete too much protein in the urine.
Polycystic Ovary Syndrome (PCOS),Polycystic Ovary Syndrome (PCOS) is a hormonal disorder causing enlarged ovaries with small cysts on the outer edges.
Ankylosing Spondylitis,Ankylosing Spondylitis is a type of arthritis that affects the spine causing pain and stiffness.
Multiple Sclerosis,Multiple Sclerosis is a disease in which the immune system eats away at the protective covering of nerves.
Sjögren's Syndrome,Sjögren's Syndrome is an autoimmune disease characterized by dry eyes and dry mouth.
Temporal Arteritis,Temporal Arteritis is an inflammation of blood vessels commonly the temporal arteries that can cause headaches and vision problems.
Wegener's Granulomatosis,Wegener's Granulomatosis is a rare disease that causes inflammation of blood vessels in the nose sinuses throat lungs and kidneys.
Trigeminal Neuralgia,Trigeminal Neuralgia is a chronic pain condition that affects the trigeminal nerve which carries sensation from the face to the brain.
Mitral Valve Prolapse,Mitral Valve Prolapse is a condition in which the two valve flaps of the mitral valve do not close smoothly or evenly.
Pulmonary Hypertension,Pulmonary Hypertension is a type of high blood pressure that affects the arteries in the lungs and the right side of the heart.
Carpal Tunnel Syndrome,Carpal Tunnel Syndrome is a condition that causes numbness tingling or weakness in the hand.
Addison's Disease,Addison's Disease is a disorder in which the adrenal glands do not produce enough hormones.
Chronic Fatigue Syndrome,Chronic Fatigue Syndrome is a complicated disorder characterized by extreme fatigue that can't be explained by any underlying medical condition.
Bell's Palsy,Bell's Palsy is a condition that causes a temporary weakness or paralysis of the muscles in the face.
Guillain-Barré Syndrome,Guillain-Barré Syndrome is a rare disorder in which your body's immune system attacks your nerves.
Wilson's Disease,Wilson's Disease is a rare inherited disorder that causes copper to accumulate in the liver brain and other vital organs.
Myasthenia Gravis,Myasthenia Gravis is a chronic autoimmune disorder that causes weakness in the skeletal muscles.
Thyroid Eye Disease,Thyroid Eye Disease is an autoimmune condition that causes inflammation and swelling of the eye muscles and tissues.
Restless Legs Syndrome,Restless Legs Syndrome is a condition that causes an uncontrollable urge to move your legs usually because of an uncomfortable sensation.
Cluster Headache,Cluster Headache is a severe headache disorder characterized by repeated attacks of intense pain on one side of the head often around the eye.
Peripheral Neuropathy,Peripheral Neuropathy is a result of damage to the nerves located outside of the brain and spinal cord.
Kawasaki Disease,Kawasaki Disease is a condition that causes inflammation in the walls of some blood vessels in the body primarily affecting young children.
Whipple's Disease,Whipple's Disease is a rare bacterial infection that affects the joints and digestive system.
Sickle Cell Anemia,Sickle Cell Anemia is an inherited blood disorder in which red blood cells have a crescent shape leading to anemia and other complications.
Acromegaly,Acromegaly is a hormonal disorder that develops when the pituitary gland produces too much growth hormone.
Hemochromatosis,Hemochromatosis is a genetic disorder in which the body absorbs too much iron from the diet.
Marfan Syndrome,Marfan Syndrome is a genetic disorder that affects the body's connective tissue often causing heart; eye and skeletal problems.
