Disease,Medication
Fungal infection,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']"
Allergy,"['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']"
GERD,"['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']"
Chronic cholestasis,"['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']"
Drug Reaction,"['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']"
Peptic ulcer disease,"['Antibiotics', 'Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Cytoprotective agents']"
AIDS,"['Antiretroviral drugs', 'Protease inhibitors', 'Integrase inhibitors', 'Entry inhibitors', 'Fusion inhibitors']"
Diabetes,"['Insulin', 'Metformin', 'Sulfonylureas', 'DPP-4 inhibitors', 'GLP-1 receptor agonists']"
Gastroenteritis,"['Antibiotics', 'Antiemetic drugs', 'Antidiarrheal drugs', 'IV fluids', 'Probiotics']"
Bronchial Asthma,"['Bronchodilators', 'Inhaled corticosteroids', 'Leukotriene modifiers', 'Mast cell stabilizers', 'Anticholinergics']"
Hypertension,"['Antihypertensive medications', 'Diuretics', 'Beta-blockers', 'ACE inhibitors', 'Calcium channel blockers']"
Migraine,"['Analgesics', 'Triptans', 'Ergotamine derivatives', 'Preventive medications', 'Biofeedback']"
Cervical spondylosis,"['Pain relievers', 'Muscle relaxants', 'Physical therapy', 'Neck braces', 'Corticosteroids']"
Paralysis (brain hemorrhage),"['Blood thinners', 'Clot-dissolving medications', 'Anticonvulsants', 'Physical therapy', 'Occupational therapy']"
Jaundice,"['IV fluids', 'Blood transfusions', 'Liver transplant', 'Medications for itching', 'Antiviral medications']"
Malaria,"['Antimalarial drugs', 'Antipyretics', 'Antiemetic drugs', 'IV fluids', 'Blood transfusions']"
Chicken pox,"['Antiviral drugs', 'Pain relievers', 'IV fluids', 'Blood transfusions', 'Platelet transfusions']"
Dengue,"['Antibiotics', 'Antipyretics', 'Analgesics', 'IV fluids', 'Corticosteroids']"
Typhoid,"['Vaccination', 'Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Liver transplant']"
hepatitis A,"['Vaccination', 'Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Liver transplant']"
Hepatitis B,"['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']"
Hepatitis C,"['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']"
Hepatitis D,"['Antiviral drugs', 'IV fluids', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']"
Hepatitis E,"['Alcohol cessation', 'Corticosteroids', 'IV fluids', 'Liver transplant', 'Nutritional support']"
Alcoholic hepatitis,"['Antibiotics', 'Isoniazid', 'Rifampin', 'Ethambutol', 'Pyrazinamide']"
Tuberculosis,"['Antipyretics', 'Decongestants', 'Cough suppressants', 'Antihistamines', 'Pain relievers']"
Common Cold,"['Antibiotics', 'Antiviral drugs', 'Antifungal drugs', 'IV fluids', 'Oxygen therapy']"
Pneumonia,"['Laxatives', 'Pain relievers', 'Warm baths', 'Cold compresses', 'High-fiber diet']"
Dimorphic hemmorhoids(piles),"['Nitroglycerin', 'Aspirin', 'Beta-blockers', 'Calcium channel blockers', 'Thrombolytic drugs']"
Heart attack,"['Compression stockings', 'Exercise', 'Elevating the legs', 'Sclerotherapy', 'Laser treatments']"
Varicose veins,"['Levothyroxine', 'Antithyroid medications', 'Beta-blockers', 'Radioactive iodine', 'Thyroid surgery']"
Hypothyroidism,"['Antithyroid medications', 'Radioactive iodine', 'Thyroid surgery', 'Beta-blockers', 'Corticosteroids']"
Hyperthyroidism,"['Glucose tablets', 'Candy or juice', 'Glucagon injection', 'IV dextrose', 'Diazoxide']"
Hypoglycemia,"['Pain relievers', 'Exercise', 'Hot and cold packs', 'Joint protection', 'Physical therapy']"
Osteoarthristis,"['NSAIDs', 'Disease-modifying antirheumatic drugs (DMARDs)', 'Biologics', 'Corticosteroids', 'Joint replacement surgery']"
Arthritis,"['Vestibular rehabilitation', 'Canalith repositioning', 'Medications for nausea', 'Surgery', 'Home exercises']"
(vertigo) Paroymsal Positional Vertigo,"['Topical treatments', 'Antibiotics', 'Oral medications', 'Hormonal treatments', 'Isotretinoin']"
Acne,"['Antibiotics', 'Pain relievers', 'Antihistamines', 'Corticosteroids', 'Topical treatments']"
Urinary tract infection,"['Antibiotics', 'Urinary analgesics', 'Phenazopyridine', 'Antispasmodics', 'Probiotics']"
Psoriasis,"['Topical treatments', 'Phototherapy', 'Systemic medications', 'Biologics', 'Coal tar']"
Impetigo,"['Topical antibiotics', 'Oral antibiotics', 'Antiseptics', 'Ointments', 'Warm compresses']"
Sinusitis,"['Decongestants', 'Nasal corticosteroids', 'Saline nasal sprays', 'Antibiotics', 'Antihistamines']"
Bronchitis,"['Bronchodilators', 'Antibiotics', 'Cough suppressants', 'Inhaled corticosteroids', 'Mucolytics']"
Anemia,"['Iron supplements', 'Vitamin B12 injections', 'Folic acid supplements', 'Erythropoiesis-stimulating agents', 'Blood transfusions']"
Otitis Media,"['Antibiotics', 'Ear drops', 'Pain relievers', 'Decongestants', 'Antihistamines']"
Tonsillitis,"['Antibiotics', 'Pain relievers', 'Steroids', 'Throat lozenges', 'Antiseptic gargles']"
Conjunctivitis,"['Antibiotic eye drops', 'Antiviral eye drops', 'Steroid eye drops', 'Lubricating eye drops', 'Antihistamine eye drops']"
Cholecystitis,"['Antibiotics', 'Pain relievers', 'IV fluids', 'Cholesterol-lowering medications', 'Surgery (cholecystectomy)']"
Asthma,"['Inhaled corticosteroids', 'Short-acting beta agonists (SABA)', 'Long-acting beta agonists (LABA)', 'Leukotriene modifiers', 'Biologics']"
Gout,"['NSAIDs', 'Colchicine', 'Corticosteroids', 'Allopurinol', 'Febuxostat']"
Lupus,"['NSAIDs', 'Antimalarial drugs', 'Corticosteroids', 'Immunosuppressive drugs', 'Biologics']"
Eczema,"['Topical corticosteroids', 'Moisturizers', 'Calcineurin inhibitors', 'Phototherapy', 'Oral antihistamines']"
Migraine,"['Triptans', 'NSAIDs', 'Beta-blockers', 'Antidepressants', 'Calcium channel blockers']"
Chicken Pox,"['Antihistamines', 'Antiviral drugs', 'Pain relievers', 'Calamine lotion', 'IV fluids']"
Dengue Fever,"['Pain relievers', 'IV fluids', 'Platelet transfusions', 'Corticosteroids', 'Blood transfusions']"
Hepatitis,"['Antiviral drugs', 'Interferon injections', 'Immunomodulators', 'Liver transplant', 'Vaccination']"
Chronic Fatigue Syndrome,"['Antidepressants', 'NSAIDs', 'Sleep aids', 'Physical therapy', 'Cognitive behavioral therapy (CBT)']"
Chronic Obstructive Pulmonary Disease (COPD),"['Bronchodilators', 'Inhaled corticosteroids', 'Phosphodiesterase-4 inhibitors', 'Mucolytics', 'Oxygen therapy']"
Tuberculosis,"['Isoniazid', 'Rifampin', 'Pyrazinamide', 'Ethambutol', 'Streptomycin']"
Appendicitis,"['Pain relievers', 'Antibiotics', 'IV fluids', 'Surgery (appendectomy)', 'Antiemetic drugs']"
Diverticulitis,"['Antibiotics', 'Pain relievers', 'High-fiber supplements', 'Antispasmodic medications', 'Surgery (if necessary)']"
Acute Pancreatitis,"['IV fluids', 'Pain relievers', 'Antiemetic drugs', 'Antibiotics', 'Enzyme supplements']"
Chronic Kidney Disease,"['Diuretics', 'Erythropoiesis-stimulating agents', 'Phosphate binders', 'Vitamin D supplements', 'Dialysis (if necessary)']"
Celiac Disease,"['Gluten-free diet', 'Vitamin and mineral supplements', 'Anti-inflammatory medications', 'Probiotics', 'Digestive enzymes']"
Irritable Bowel Syndrome,"['Antispasmodics', 'Antidepressants', 'Fiber supplements', 'Probiotics', 'Laxatives (for constipation)']"
Lyme Disease,"['Antibiotics', 'Pain relievers', 'NSAIDs', 'Corticosteroids', 'Physical therapy']"
Parkinson's Disease,"['Levodopa', 'Dopamine agonists', 'MAO-B inhibitors', 'Anticholinergics', 'Physical therapy']"
Bipolar Disorder,"['Mood stabilizers', 'Antipsychotic drugs', 'Antidepressants', 'Anticonvulsants', 'Benzodiazepines']"
Epilepsy,"['Antiepileptic drugs', 'Benzodiazepines', 'Surgery (if necessary)', 'Vagus nerve stimulation', 'Ketogenic diet']"
Multiple Sclerosis,"['Corticosteroids', 'Disease-modifying therapies (DMTs)', 'Muscle relaxants', 'Antidepressants', 'Physical therapy']"
